sequenceID,min.log.lambda,max.log.lambda
100_chr1,-1.15140686202873,inf
100_chr11,-1.82254564573658,inf
100_chr17,-3.40803211237605,inf
100_chr2,-1.59149164615751,inf
100_chr3,-2.20273313280013,inf
100_chr4,-2.73328134176675,inf
101_chr1,-0.782329303106817,inf
101_chr11,-2.10461157556032,inf
101_chr17,-2.68723484070787,inf
101_chr2,-inf,2.80750480918295
101_chr3,-0.895748524987575,inf
101_chr4,-2.32850376833362,inf
102_chr1,-inf,3.99525187243763
102_chr11,-3.5145932659625,inf
102_chr17,-inf,1.27781679865546
102_chr2,-inf,2.61332981394445
102_chr3,-1.76922100141696,inf
102_chr4,-4.01262459842965,inf
103_chr1,-inf,4.57087440698585
103_chr11,-1.48726828024278,inf
103_chr17,-inf,1.95162954005963
103_chr2,-inf,3.88207538135591
103_chr3,-2.89588780992114,inf
103_chr4,-2.58398825607238,inf
104_chr1,-inf,3.08952458016469
104_chr11,-1.37848285777531,inf
104_chr17,-inf,2.36470772786159
104_chr2,-inf,3.82404046760856
104_chr3,-1.41433480633942,inf
104_chr4,-1.4029258066291,inf
105_chr1,-2.45069953032319,inf
105_chr11,-3.47534531660269,inf
105_chr17,-2.98960653088515,inf
105_chr2,-2.40457714644154,inf
105_chr3,-3.55946166104624,inf
105_chr4,-4.00456960240892,inf
106_chr1,-1.52912565451878,inf
106_chr11,-inf,2.98442336148029
106_chr17,-inf,2.83900410944367
106_chr2,-inf,-1.01724705020938
106_chr3,-2.11193412204015,inf
106_chr4,-2.99568208440046,inf
107_chr1,-1.32260658669116,inf
107_chr11,-1.37852414798631,inf
107_chr17,-3.10301840645272,inf
107_chr2,-2.6763704392181,inf
107_chr3,-1.41221220275887,inf
107_chr4,-1.90467516526031,inf
108_chr1,-0.837543335614564,inf
108_chr11,-inf,2.03287993694804
108_chr17,-inf,2.02773008840368
108_chr2,-3.26197749191176,inf
108_chr3,-3.52587391266343,inf
108_chr4,-1.53643432767159,inf
109_chr1,-1.75877432574383,inf
109_chr11,-3.47823583972983,inf
109_chr17,-1.66707315488236,inf
109_chr2,-1.55684176650325,inf
109_chr3,-1.83017984086513,inf
109_chr4,-1.86376551913149,inf
10_chr1,-1.50791410241527,inf
10_chr11,-2.60448041546997,inf
10_chr17,-1.44599430482558,inf
10_chr2,-2.24743277679978,inf
10_chr3,-2.37206425088312,inf
10_chr4,-3.83417364430956,inf
110_chr1,-1.01731324956923,inf
110_chr11,-3.02683221003667,inf
110_chr17,-2.563370690001,inf
110_chr2,-1.75893935715258,inf
110_chr3,-2.7755972416522,inf
110_chr4,-2.53966459869472,inf
111_chr1,-0.468300691976613,inf
111_chr11,-1.85109086719582,inf
111_chr17,-1.04098873024246,inf
111_chr2,-2.05975696863542,inf
111_chr3,-2.36843387101519,inf
111_chr4,-0.87988866341376,inf
112_chr1,-1.40087738712502,inf
112_chr11,-inf,3.46835886312654
112_chr17,-inf,2.68370368228529
112_chr2,0.51208573920685,inf
112_chr3,-2.58543115245918,inf
112_chr4,-0.480703594951098,inf
113_chr1,-inf,0.899563408192688
113_chr11,-inf,1.24655614394564
113_chr17,-inf,1.13911936614089
113_chr2,-inf,1.69608509875297
113_chr3,-1.93983679451763,inf
113_chr4,-inf,-0.173795937575586
114_chr1,-2.09828912866103,inf
114_chr11,-inf,1.93308568601281
114_chr17,-inf,2.31764899644621
114_chr2,-inf,1.93545926849104
114_chr3,-inf,2.21334808909299
114_chr4,-3.92249860528732,inf
115_chr1,-1.4673794260594,inf
115_chr11,-inf,2.01085866934951
115_chr17,-inf,1.87157944730297
115_chr2,-inf,1.32168520132794
115_chr3,-inf,1.91678487412048
115_chr4,-inf,0.887542084667921
116_chr1,0.443473656560146,inf
116_chr11,-1.83449738153483,inf
116_chr17,-1.2894675378606,inf
116_chr2,-1.77998984896765,inf
116_chr3,-1.88972444700407,inf
116_chr4,-0.404646713116493,inf
117_chr1,0.091868833700612,inf
117_chr11,-2.2968332531445,inf
117_chr17,-1.16698540274195,inf
117_chr2,-2.94235418352225,inf
117_chr3,-2.69431953159709,inf
117_chr4,-1.39169376284195,inf
118_chr1,-1.14689176196433,inf
118_chr11,-0.185337700430109,inf
118_chr17,-2.05877454488691,inf
118_chr3,-1.10848910684542,inf
118_chr4,-1.61684370207828,inf
119_chr1,-1.55718822371966,inf
119_chr11,-inf,1.89688331546952
119_chr17,-inf,1.54838278761654
119_chr2,-inf,1.13760177632113
119_chr3,-inf,1.99152189603757
119_chr4,-3.90916313527448,inf
11_chr1,-inf,2.39473287695651
11_chr11,0.552800358347369,inf
11_chr17,1.03693235764513,inf
11_chr2,-0.456570392651191,inf
11_chr3,-0.249593970642512,inf
11_chr4,-inf,0.730793396188341
120_chr1,-0.513882229855861,inf
120_chr11,-3.57901135468839,inf
120_chr17,-2.1845818324618,inf
120_chr2,-3.450873922835,inf
120_chr3,-3.02209394810165,inf
120_chr4,-3.97458092881314,inf
121_chr1,-inf,2.16864684696304
121_chr11,-inf,2.4693949811377
121_chr17,-inf,0.956804395480745
121_chr2,-inf,1.75658350291363
121_chr3,-inf,2.22771502754856
121_chr4,-1.28325613429985,inf
122_chr1,-2.64871500704907,inf
122_chr11,-2.64259420433279,inf
122_chr17,-1.07158191784653,inf
122_chr2,-2.35524198526939,inf
122_chr3,-2.06841009253743,inf
122_chr4,-2.15654935176568,inf
123_chr1,0.808521532806673,inf
123_chr11,-inf,2.23652136578414
123_chr17,-inf,2.08386414706576
123_chr2,-1.1035982775662,inf
123_chr3,-inf,1.60349226995574
123_chr4,-inf,0.537610392151271
124_chr1,-1.19519373794957,inf
124_chr11,-1.39957666702588,inf
124_chr17,-2.15274252400996,inf
124_chr2,-2.58178229178333,inf
124_chr3,-2.20316933642908,inf
124_chr4,-2.4156458468058,inf
125_chr1,-0.718469569460796,inf
125_chr11,-3.23872278755766,inf
125_chr17,-2.24218001412291,inf
125_chr2,-2.71593599087845,inf
125_chr3,-3.61200581269759,inf
125_chr4,-4.24531211334396,inf
126_chr1,-0.243463402947753,inf
126_chr11,-1.77410055491338,inf
126_chr17,-1.59054405036247,inf
126_chr2,-3.70091209448788,inf
126_chr3,-2.59683712522016,inf
126_chr4,-1.04759596022814,inf
127_chr1,-0.203740735438539,inf
127_chr11,-1.87814483038581,inf
127_chr17,-inf,1.19735791915628
127_chr2,-0.570155370476839,inf
127_chr3,-1.43235256153961,inf
127_chr4,-inf,2.29412826793523
128_chr1,-2.71814742391033,inf
128_chr11,-inf,2.57130925372984
128_chr17,-inf,2.53058144473128
128_chr2,-inf,1.07823615704675
128_chr3,-inf,1.43952705218268
128_chr4,-3.02466166158783,inf
129_chr1,1.35771468416398,inf
129_chr11,-0.87362559577311,inf
129_chr17,-1.87529412895985,inf
129_chr2,-1.98934840584216,inf
129_chr3,-1.7531266154738,inf
129_chr4,0.0253342116652181,inf
12_chr1,-1.86608331902183,inf
12_chr11,-inf,2.95676347453259
12_chr17,-inf,2.53703925215151
12_chr2,-inf,1.95334348131924
